Title,Score,Comment
겨울왕국 2,8,아이와 함께 재미있게 잘 봤어요^^ 
겨울왕국 2,8,말모.  1편보다 사실 더 재미있었네요^^ 
겨울왕국 2,10,Ost가 너무 좋고 캐릭터를 정말 디테일하게 만들었다 
겨울왕국 2,9,엘사는 행복한 결말을 맞이한 예수이다 
겨울왕국 2,10,너무  재밌게 잘봤어요~~ 
겨울왕국 2,10,재밋엇슴 
겨울왕국 2,10,
겨울왕국 2,8,1편보다는 영상도 좋고 스토리가 더 흥미진진하네요~~ 
겨울왕국 2,10,옛날 영화들에 대한 패러디가 아재들의 향수를 자극합니다.개인적으로는 크리스토프의 OST가 맘에 듭니다.아저씨들 관점에서 볼 때~~ 
겨울왕국 2,10,겨울왕국1보다 훨씬 재밌고 노래가 너무 좋아요.... 
겨울왕국 2,10,
겨울왕국 2,10,
겨울왕국 2,3,노래만부르다 끝남 
겨울왕국 2,1,이 영화의 어느 부분을 좋다고 해야하나? 
겨울왕국 2,7,
겨울왕국 2,8,전 1편에 비해 그냥 그랬어요 
겨울왕국 2,10,Show yourself 감동적입니다 ㅜㅠ 
겨울왕국 2,10,초등학생때 봤던 겨울왕국이 2가 나왔서 바로 봤다...겨울왕국2는 더 뮤지컬스럽고 2번 봐서 더 좋았다 
겨울왕국 2,10,Ost가 좋고 감동적임 
겨울왕국 2,9,한층 더 업그레이드 된 영상 연출 역시 디즈니 애니메이션 
겨울왕국 2,10,"믿고 보는 디즈니,, 오에스티도 짱이다.... "
겨울왕국 2,8,딸과 오랜만에 영화관 데이트 했습니다1편보다 노래비중이 더 많아요저는 1편이 더 잼있었는데딸은 2편이 더 잼있다네요 
겨울왕국 2,10,"시간이 흘러 디즈니가 더 완성도 높고 뛰어난 작품을 만들게 되더라도, '엘사' 가 가지고 있는 캐릭터성을 뛰어넘을수는 없을 거라고 본다. "
겨울왕국 2,9,1편을 안봐도 올라프가 요약해서 알려주니까 관객입장에서는 편하고근데 엘사의 마법이 생긴 원인이 제대로 안나와서 좀 그래.... 
겨울왕국 2,10,
겨울왕국 2,10,
겨울왕국 2,8,1편보다 흥미진진하고 재미졌음 
겨울왕국 2,2,내가 영화보는 수준이 낮은건가???보고 느낀점 어니언은 팝콘이다. 
겨울왕국 2,10,이해하면 정말 감동적임 
겨울왕국 2,10,엘사 너무 좋다. 사랑해. 너무 멋져ㅠ 
겨울왕국 2,10,엘사가 엘사했네요. 역시 재미있어요. 
겨울왕국 2,10,먼가 겨울왕국1보다 내용이 심오해졌긴 했는데 오히려 좋았음 캐릭터들이 여러상황 겪으면서 성장하는게 보여서 넘 좋았구 마지막 안나랑 엘사 넘 멋졋슴! ost덕분에 내용이해도 잘됫구 심심치 않게 본듯 
겨울왕국 2,10,
겨울왕국 2,6,아이들이 좋아하네요 어른이봐도 볼만한 영화이구요 
겨울왕국 2,10,
겨울왕국 2,10,저번 겨울왕국 1 때보다 더 재밌었어요 
겨울왕국 2,10,저희 아이들이 너무좋아하네요..그래서 재관람했어요 
겨울왕국 2,5,재미없어요 ㅜ 
겨울왕국 2,10,Show yourself 미쳐따 
겨울왕국 2,7,
겨울왕국 2,7,용기로 과거를 대하는 법 
겨울왕국 2,5,개연성이 너무 떨어지는거 같음 
겨울왕국 2,10,음악과 배경이 좋았어요^^ 
겨울왕국 2,10,
겨울왕국 2,10,
겨울왕국 2,10,진짜 저 2번봤는데 2번 다 친구들한테 자랑할 정도임 엘사 퀄리티 소름;;; 
겨울왕국 2,10,너무 재미 있어서 시간이 금방 지나 갔어요 
겨울왕국 2,10,
겨울왕국 2,9,
겨울왕국 2,10,당연재밌죠 딸도 좋아하고오에스티도좋고~ 
겨울왕국 2,10,전편보다는 감동이 덜했지만 영상이 넘나이쁘고 그냥뮤지컬보고나온느낌? 
겨울왕국 2,10,기대이상으로 너무 잼있게봤어요아이도너무잼있다고 넘좋아하네요역쉬겨울왕국쵝오~~ 
겨울왕국 2,10,영상미가 넘 멋졌어요..^^ 
겨울왕국 2,8,올라프랑 크리스토퍼 멋짐 
겨울왕국 2,9,1편보다 별로라는 사람도 많던데 개인적으로는 1편보다 스토리든 영상미든 음악이든 다 좋아진거같음. 올라프가 씬스틸러임. 엘사가 더 예뻐진거같음 
겨울왕국 2,10,겨울왕국 1때보다 아이들이 보기에 조금 더 난위도 있는 내용이지만 아이때문에 3번 보았는데 왜 겨울왕국2역시 성공할수밖에 없었는지 노래를 들으면 들을수록 영화를 여러번 볼수록 정말 1때보다 더 낫다는 생각을 한다. 영화 1번 보고나서는 이게 그렇게 잘된줄 몰랐는데 두번째부터 그리고 음악을 차에서 많이 들어보니까 정말 잘만들었다는 생각이 들더라. 
