Title,Score,Comment
말레피센트 2,8,다좋은데 결말이 왜이러냐.디즈니 답다고 해야돼나. CG는정말 극강의끝을 보여주네. 근데 이영화보고나면 없던인간혐오증 생길듯. 
말레피센트 2,10,전편만큼 화려하다 안젤리나 졸리는 역시 이쁘고! 
말레피센트 2,5,더 화려해진 볼거리 하지만 그것을 커버할 수 없는 엉성하고 나사빠진 결말 
말레피센트 2,5,스토리는 1편에서 끝냈어야 했다. 2편은 너무 억지스러운 상상으로 인해서 부자연스러운 스토리 전개로 완전 망쳐버린 작품. 무엇이든 1편만한 작품을 이어 나가기 힘든 흥행에만 기대해 만든 억지스러운 2편은 1편의 영광을 재현해 내기란 어렵다라는 공식을 증명한 2편이다. 
말레피센트 2,1,2편에 영화를 망치다니. 
말레피센트 2,10,8살아들과 재밌게 봤어요~ 아이들은 내용에대한 흐름개연성 중요하지않아요 멋진영상이 좋았데요 저도 말레피센트 넘 멋지게 잘봤네요 
말레피센트 2,2,오로라가 결혼하고싶어 미쳤어요 
말레피센트 2,3,1편이 좋게 봐서 2편 기대했더만 고구마에 울기만하고 마지막 압권 사이코패스냐 몇 명이 죽었는데 뜬금 없이 결혼한다고 축하해달래 살리려면 다 살리던가 
말레피센트 2,10,너무 아름다운 영화다 사랑해요 안젤리나 졸리엘르 페닝 때문에 피꺼솓 할뻔.. 미셸파이퍼 빌런역 굿잡 
말레피센트 2,5,애들 이거보면 싸이코패스 된다. 본격 싸패교육용 영화. 
말레피센트 2,8,다크페이들의 동굴에서 다양한 종족들을 각각 그에 맞게 표현한 것이 나한테는 너무 정말 너무 아름답게 느껴졌다 연출 최고야 진짜 날개에 색을 입힐 생각을 하다니 정말 최고였다 너무 아름다웠음 근데 칭찬할게 그것 밖에없음 그 외엔 그냥 다 짜증나고... 등장인물들 비주얼이랑 영상미 보려고 보는 영화 그 이상 그 이하도 아니다. 스토리는 정말이지 충격스러울 정도로 별로였음 오로라 너무 했음 진짜. 사랑 때문에 그토록 자길 예뻐해준 피센트를 저버리고 잉그리스 왕비를 따르다니 말이다. 씨쥐는 진짜 좋은 의미로 피가 거꾸로 솟는 기분이였다. 이런류의 영화를 별로 안 봐서 그런가 정말 좋았다(스토리는 진짜 개개개별로임)그 외엔 버섯 요정이랑 이상한 고슴도치 닮은 요정이 너무 귀여웠다 요정들 이름이 기억이 안 나서 저렇게 씁니당. 그냥 심심할 때 기대안하고 보면 좋을 영화임. 
말레피센트 2,1,오로라 내가 패 주겨 버리고싶네 영화보면서 살인충동을 느끼네 하... 이렇게 짜증나고 성질나는 영화는 처음이다 
말레피센트 2,1,
말레피센트 2,4,"보다가 암걸릴뻔한 영화;; 영상미, 배우들 미모로 다한 영화 "
말레피센트 2,9,말레피센트를 처음 봤을때의 멋있고 감동스러움이 2에서도 이어질까 생각했었는데 우려와 달리 너무 멋있어서 왁 소리가 나옴 !!!! 최고임 
말레피센트 2,2,평점 첨으로  남깁니다밑도 끝도없는 스토리는 최악개연성없는 흐름1점도 아깝네요. 
