Title,Score,Comment
21 브릿지: 테러 셧다운,8,"중반부까지는 나름 잼났는데, 너무 시간이 쫓겨서 후다닥 하는 느낌이 들어서...영화가 10-15분 정도만 길었으면 더 좋았을것 같은. "
21 브릿지: 테러 셧다운,7,그냥 그럭저럭 볼만한 킬링타임용 영화였던거 같네요.. 
21 브릿지: 테러 셧다운,7,블랙 펜서도 어쩌지 못한 클리쉐.. 
21 브릿지: 테러 셧다운,10,백두산 볼 거면 이거 보셈요 
21 브릿지: 테러 셧다운,2,그동안 봐왔던 경찰 무비와 다를게 없는 뻔한 스토리의 마약반 경찰들.졸음 유발.조조봄 100%수면각.블팬 마블 루소브라덜을 앞세운 홍보낚시질에 낚인1인 
21 브릿지: 테러 셧다운,1,J.K. 시몬스 같은 명배우를 데리고 이딴 식으로 밖에 못 쓰나? 전체적으로 감독의 함량 미달. 재미가 없음. 
21 브릿지: 테러 셧다운,10,넘 재밌어요 ㅠㅠ!!!! 
21 브릿지: 테러 셧다운,10,
21 브릿지: 테러 셧다운,3,헬리콥터 두뚜두두뜌두두뜌두득두 날개소리 밖에 기억 안남. 3점 수준이 딱임 알바 세끼들 돈버느라 바쁘네 ㅠㅠㅠ 
21 브릿지: 테러 셧다운,1,"장난치냐? 현실감이 없쟎아, 현실감이! 백두산 보고 배워라! "
21 브릿지: 테러 셧다운,4,"채드윅 보스만의 몰입감 있는 연기는 좋았다만, 그게 이 영화의 한계.진부하고 뻔한 스토리를 정말 신선도 1도없이 전개해버린게 이 영화의 가장 큰 흠. "
21 브릿지: 테러 셧다운,7,영화관용은 아니고 재밌는 Tv 드라마정도. 범인추격까지는 좋은데 반전이 뻔한데다가 딱 그부분부터 루즈해짐. 
21 브릿지: 테러 셧다운,8,나쁘지 않음 한국영화 보다 낫다 
21 브릿지: 테러 셧다운,7,
21 브릿지: 테러 셧다운,3,졸면서 봤습니다반전도 반전같지 않았어요어떤점에서 재밌는지 요소 못찾겠어요 
21 브릿지: 테러 셧다운,6,스토리가 깜짝 놀랄 정도로 단순하고 허술함... 
21 브릿지: 테러 셧다운,8,이렇게 말하면 좀 그렇지만 한국영화에서는 볼 수 없는 스케일이어서 영상을 보는 맛이 있다.초반부터 빠르게 달리는 전개에 끝까지 롤러코스터를 타는 기분으로 긴장감 있게 봤다.다만 아쉬운 점은 훤히 보이는 스토리지만 그걸 뛰어넘는 연출이 있기에 최근 본 영화 중 가장 재밌게 보았다. 
21 브릿지: 테러 셧다운,8,2프로 아쉬운 느낌 전체적으로 볼만함 
21 브릿지: 테러 셧다운,10,"블랙팬서의 강력한 대사 한마디 꼽으라고 한다면...""맨해~튼!"" "
21 브릿지: 테러 셧다운,9,마약상 어부지리 지렸고 렛잇고 알파고 
21 브릿지: 테러 셧다운,8,생일날 봤는데 긴장감에 한 눈 팔새없이 보다가 영화가 끝났어요 추격신부터 연기까지 계속 눈낄을 끌더라구요. 상영관이 근처에 없어 멀리까지 갔지만 보고 온 보람이 있었네요. 스토리가 너무 현실적이라 실제인지 영화인지 헷갈렸어요 
21 브릿지: 테러 셧다운,10,뉴욕판 버닝썬? 현실도 영화같으면 좋으련만~ 
21 브릿지: 테러 셧다운,10,
21 브릿지: 테러 셧다운,10,"군더더기 없는 영화,  굿 "
21 브릿지: 테러 셧다운,6,cool hand~ 무슨뜻인지아는사람 
21 브릿지: 테러 셧다운,10,연출도 좋고 재밌다.하지만 조금 뻔할 수 있다 
21 브릿지: 테러 셧다운,10,평범한 범죄영화 같지만 속내는 암울한... 잘근잘근 씹혀오는 긴장감이 맴도는 사이 온 사방의 총구는 나를 향하고 있다!! 
21 브릿지: 테러 셧다운,6,너무 기대했더니 별루네옴. ㅠ 
21 브릿지: 테러 셧다운,8,멋있는 액션 영화를 생각한다면 추천하지 않는다그냥 스릴러 영화임그렇다고 딱히 스릴이 넘치는 건 아님 
21 브릿지: 테러 셧다운,4,관람객 평점 왜이리높냐개 재미없다 이게 뭐여 긴장감이라고는 눈꼽 만큼도 안느껴짐 반전도없고 솔직히 그건 반전이 아니다 반전이란게 설마 저거냐 싶은게 그거고 뭔가 스릴이 느껴지는부분은 없음 액션이라도 화려하면 좋을련만 가장 화려해보이는 액션은 잠깐나온 형사와 범인 1대1  추격전 파쿠르 잘하더라 것도깔짝나오지만 
21 브릿지: 테러 셧다운,7,중반부터 여주 존나 패주고 싶더라 
21 브릿지: 테러 셧다운,8,스토리와 연기력이 평이한 영화 조금 시사하는바가 있고 반전도 있어 그냥 볼만한 영화 정도인듯 
21 브릿지: 테러 셧다운,8,역시액션과마약비리경찰스토리잼있었어요 
21 브릿지: 테러 셧다운,7,"테러 뭐시기 같은 부제를 붙여놨지만, 그냥 평범한 형사물. 나름 괜찮은 영화인데 약간의 과장 광고라 생각됨. 머 기대 없이 보면 나름 찝찝하게 끝나는 결말도 꽤 괜찮을 수도. 정의의 반대는 악이 아니라 불의 임을 잊지말아야. "
21 브릿지: 테러 셧다운,6,여주때매 스트레스 받음 
21 브릿지: 테러 셧다운,6,뻔한 스토리네요..영화보다가 왠만하면 잠들지 않는데 잠들었습니다...총격전이 80프로 
21 브릿지: 테러 셧다운,10,중반부 갈수록 긴장감 있고 추격씬 리얼연출 연기력 모두 만족!!! 
21 브릿지: 테러 셧다운,2,"반전은 허접했고, 스토리도 그저그런.. "
21 브릿지: 테러 셧다운,6,딱 재미난 미드수준^^ 
